x,a,b,c,d,index_value,distance_from_signal
896,18,133,28,50,102,-30
897,18,135,29,50,104,-29
898,18,136,30,50,105,-28
899,18,136,31,50,106,-27
900,19,136,32,50,105,-26
901,19,136,31,50,106,-25
902,19,136,31,50,105,-24
903,19,136,31,50,103,-23
904,19,135,30,50,100,-22
905,19,134,30,50,97,-21
906,18,132,28,50,95,-20
907,18,131,26,49,90,-19
908,18,129,25,49,87,-18
909,18,127,24,48,84,-17
910,18,124,23,47,71,-16
911,17,118,20,47,66,-15
912,17,113,18,45,53,-14
913,16,108,17,42,47,-13
914,15,104,17,40,39,-12
915,14,100,16,35,30,-11
916,13,98,16,34,27,-10
917,12,99,15,31,29,-9
918,12,100,17,29,32,-8
919,12,100,19,28,31,-7
920,11,100,18,27,28,-6
921,11,100,18,26,24,-5
922,11,100,18,26,22,-4
923,11,98,17,24,16,-3
924,10,95,16,24,12,-2
925,10,93,15,23,5,-1
926,9,80,14,21,2,0
927,8,78,14,18,2,1
928,8,66,7,16,3,2
929,7,69,8,13,10,3
930,7,73,8,13,16,4
931,7,79,13,13,24,5
932,7,83,19,13,28,6
933,7,86,22,13,30,7
934,7,87,22,13,31,8
935,7,88,23,13,32,9
936,7,88,22,12,32,10
937,7,88,21,12,32,11
938,7,88,19,12,30,12
939,7,89,19,12,30,13
940,7,90,20,12,30,14
941,7,92,21,12,34,15
942,7,94,23,11,35,16
943,7,95,23,11,35,17
944,7,93,22,11,30,18
945,7,90,21,11,24,19
946,7,88,19,11,19,20
947,7,86,17,10,13,21
948,7,85,16,9,12,22
949,6,84,15,8,10,23
950,6,84,15,7,11,24
951,6,85,15,7,11,25
952,6,86,17,7,12,26
953,6,87,17,6,12,27
954,6,88,18,5,11,28
955,6,89,18,5,12,29
